,name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude,search_keyword,emails,title,site_name,description,keywords,category,business_category,locale
69,Radboud Universiteit,,https://www.ru.nl,,23,4.7,51.8308224,5.7487345,"Nederland, Nijmegen-Zuid, Universities",,Radboud Universiteit | Radboud Universiteit,,"De Radboud Universiteit draagt bij aan een gezonde, vrije wereld met gelijke kansen voor iedereen en is zowel regionaal als internationaal van betekenis.","universiteit, nijmegen, onderzoek, onderwijs, radboud, radboud universiteit, radboud universiteit nijmegen",,,
82,Sportproductions,,https://www.janmassinkhal.nl,,821,4.0,51.8991368,5.6744899,"Nederland, Nijmegen-Midden, Sporting Events",['janmassinkhal@example.nl'],Jan Massinkhal,Gemeente Nijmegen,,,,,
104,Mondzorg Oost,,https://www.mondzorgoost.nl,,40,4.3,51.8431264,5.6600859,"Nederland, Nijmegen-Oost, Dental Offices",,Dé tandartspraktijk voor jouw mooie lach!,Mondzorg Oost,Dé tandartspraktijk voor jong en oud met persoonlijke aandacht en een centrale ligging in Nijmegen Oost.,,,,nl_NL
1,Sport Event,,https://www.sportevent.nl,,1,5.0,51.8992249,5.6281442,"Nederland, Nijmegen-Midden, Sporting Events",['info@example.nl'],"Sportevent, onze events op uw locatie!",Sportevent,Sport Event: maak je eigen avontuur en kies zelf je activiteiten voor op je eigen locatie!,,,,nl_NL
73,Wassink Autogroep Nijmegen,,https://www.wassinkautogroep.nl,,569,3.9,51.8286947,5.6088188,"Nederland, Nijmegen-Zuid, Car Dealerships",,"Wassink Autogroep | Peugeot, Citroën, DS, Kia, Ford, Fiat en Jeep",Wassink Autogroep,"Bij Wassink Autogroep bent u aan het juiste adres voor nieuwe modellen, occasions en onderhoud. Wij willen dat u altijd tevreden in de auto stapt.",,,,nl_NL
32,Vortex Logistics,,https://www.bctn.nl,,87,4.6,51.8466497,5.7703222,"Nederland, Nijmegen-Nieuw-West, Logistics Companies",['info@example.eu'],Home | Ontdek BCTN's netwerk van Inland Terminals,BCTN,"BCTN is sinds 1987 dé Inland Terminal operator van Nederland. Diverse terminals waaronder in Nijmegen, Geel, Alblasserdam, Den Bosch, Roermond, Meerhout en Venray.",,,,nl_NL
62,Hotel Courage Waalkade,,https://www.hotelcourage.nl,,494,3.9,51.8308368,5.7487345,"Nederland, Nijmegen-Noord, Hotels",['info@example.nl'],,,,,,,
55,Yuverta mbo Nijmegen,,https://www.yuverta.nl,,27,3.1,51.8422352,5.537659,"Nederland, Nijmegen-Nieuw-West, Universities",['kantoor.houten@example.nl'],Welkom bij Yuverta,Yuverta,"Yuverta is de grootste groene opleider van Nederland. We hebben middelbare scholen, mbo-opleidingen en we verzorgen cursussen en trainingen.",,,WebSite,
92,Auto Traa BV,,https://www.auto-traa.nl,,184,4.5,51.8480611,5.7160717,"Nederland, Nijmegen-Oud-West, Car Dealerships",['info@example.nl'],Auto Traa - 30+ jaar SEAT & Suzuki service dealer in Nijmegen,Auto Traa,Auto Traa is dé SEAT en Suzuki Service Dealer van Nijmegen. Kom nu langs in onze showroom of maak online een afspraak voor de werkplaats,,,,nl_NL
61,Bastion Hotel,,https://www.bastionhotels.com,,770,3.9,51.8220293,5.7914846,"Nederland, Nijmegen-Noord, Hotels",['background--placeholder@example.png'],Bastion Hotels - Waar heel Holland slaapt.,Bastion Hotels,"Kom slapen bij Bastion Hotels! Jaarlijks slapen meer dan 1,2 miljoen gasten in onze 34 hotels. ✓ 100% laagste prijs gegarandeerd ✓ Minimaal 5% korting",,,,
59,Van der Valk Hotel Nijmegen-Lent,,https://www.valknijmegen.nl,,3842,4.5,51.8630391,5.7886894,"Nederland, Nijmegen-Nieuw-West, Hotels",['nijmegen@example.com'],Van der Valk Hotel Nijmegen-Lent - Beste prijsgarantie,Van der Valk,Gelegen op een unieke locatie in Nijmegen-Noord | Perfect bereikbaar met de auto en het OV | 116 luxe hotelkamers | Restaurant | Terras | Lola's Bar | 12 (vergader)zalen | Wellness | Fitness | Parkeergarage | Gratis parkeren | Vergaderen | Feesten & Partijen | Zondagsbrunch |,,,,
